country_name,country_code,adolescent_fertility,GDP,electricity_access,age_dependency,birds_threatened,crude_births ,compulsory_education,start_up_cost,crude_deaths,credit,business_ease,fertility,fish_threatened,telephone,foreign_inflow,foreign_outflow,GDP_growth,measles_immunization,labor,land,life_expectancy_female,life_expectancy_male,life_expectancy_total,mammals_threatened,mobile_cell,infant_deaths,pop_ann_growth,female_pop_perc,male_pop_perc,pop_total,private_cred,profit_tax,parliament_women,sex_ratio,legal_rights
"Venezuela, RB",VEN,84.9792,NA,100,53.68924086,52,17.881,17,393,6.982,7,32.14349,2.272,45,5547291,8.86E+08,6.61E+08,NA,74,12554309,882050,76.074,68.398,72.128,35,20731169,11095,-1.785864856,50.6332598,49.3667402,28870195,36.6,9.4,22.15568862,1.05,1
Zimbabwe,ZWE,83.2486,18854228494,41.04158401,82.95111604,19,30.676,7,110.7,7.883,6,50.50998,3.615,3,268849,744637199.2,26771876.93,4.829673591,88,6907202,386850,62.598,59.501,61.195,10,12908992,17413,1.410782722,52.35675207,47.64324793,14439018,33.6,17.6,31.48148148,1.02,5
United States,USA,18.5562,1.79E+13,100,52.71067709,91,11.6,12,1,8.6,8,83.57395,1.7295,251,110439000,2.61E+11,-1.51E+11,2.927322728,92,165483017,9147420,81.1,76.1,78.53902439,40,4.22E+08,22023,0.522337358,50.52001465,49.47998535,326687501,100,27.9,23.50230415,1.047,11
Ukraine,UKR,23.0026,1.31E+11,100,47.59515828,17,8.7,11,0.6,14.8,7,69.07387,1.301,24,6074255,4.58E+09,1.16E+08,3.405298522,91,20432109,579290,76.72,66.69,71.58268293,11,53933592,3162,-0.466425621,53.6877507,46.3122493,44622518,45.9,11,12.29314421,1.062,8
Switzerland,CHE,2.6438,6.75E+11,100,50.4532596,9,10,11,2.3,7.8,7,76.61632,1.52,9,3269952,-76220614843,38432117838,2.750553714,95,4953967,39516.00098,85.7,81.9,83.75365854,3,10788602,318,0.736633975,50.42712466,49.57287534,8514329,25.4,9.3,32.5,1.052,6
Vietnam,VNM,29.1518,1.88E+11,100,43.77660483,52,16.745,10,6.1,6.317,7,68.56869,2.049,83,4296301,1.55E+10,5.98E+08,7.075788617,97,56915235,310070,79.442,71.207,75.317,56,140639140,25987,0.992716375,50.09640962,49.90359038,95540395,29.5,13.2,26.72064777,1.118,8
"Yemen, Rep.",YEM,59.1624,18037087754,62,73.88631363,16,30.453,9,118.8,5.983,0,30.67289,3.792,40,NA,-282098333.3,3605666.667,0.752598679,64,6545429,527970,67.795,64.418,66.096,11,15297789,37517,2.357022518,49.61165749,50.38834251,28498687,0,13.8,0,1.05,0
United Kingdom,GBR,12.641,2.88E+12,100,56.43074619,11,11,11,0,9.3,8,83.55123,1.68,48,31919894,81158909779,56396272185,1.340720577,92,34329233,241930,83.1,79.5,81.25609756,5,79472341,2888,0.605929132,50.63527456,49.36472544,66460344,100,17.3,32.15384615,1.051,7
Uganda,UGA,116.0714,39775190576,42.65,95.58568273,30,38.135,7,42.7,6.554,7,58.38634,4.955,60,186902,1055353353,327251.7411,6.155079976,86,15935453,200520,65.173,60.655,62.973,31,24472033,55624,3.7213873,50.7760789,49.2239211,42723139,6.6,22.3,34.29844098,1.03,5
Trinidad and Tobago,TTO,29.3338,21071732282,100,45.25288079,5,12.937,7,0.7,8.375,6,61.03242,1.725,37,319401,-701876422.9,65041763.49,-0.245213697,90,667593,5130,76.092,70.751,73.38,2,1972595,292,0.417170469,50.59132663,49.40867337,1389858,79.2,25,30.95238095,1.038,7
Sweden,SWE,5.1226,5.89E+11,100,60.45520697,11,11.4,9,0.5,9.1,5,82.01848,1.76,15,2392386,-2101806714,10260227175,1.950022846,97,5411383,407310,84.3,80.9,82.55853659,1,12647103,255,1.16164516,49.94577617,50.05422383,10175214,100,13.1,46.13180516,1.06,7
Sudan,SDN,60.796,75749454779,59.783535,78.85872805,26,32.177,8,20.9,7.188,0,48.01814,4.407,32,136923,1135787164,NA,-2.320827321,88,12055376,NA,66.947,63.277,65.095,16,30100412,55862,2.392265265,50.04741453,49.95258547,41801533,3.1,11.5,30.51643192,1.04,5
Syrian Arab Republic,SYR,37.9512,NA,86,56.06629965,17,23.685,9,7.6,5.373,2,41.47442,2.808,51,2740000,NA,NA,NA,63,5129679,183630,77.763,66.578,71.779,14,17129676,7725,-0.952015452,49.81421136,50.18578864,16906283,0,23,13.2,1.05,1
Slovak Republic,SVK,25.9352,1.12E+11,100,45.08604574,12,10.6,10,1,10,7,75.445,1.54,5,722704,2250850832,957980656.2,3.896744466,96,2754200,48080,80.8,73.9,77.26585366,4,7241702,272,0.13850816,51.33833252,48.66166748,5446771,80.7,9.1,20,1.05,7
Serbia,SRB,14.1444,48082123702,100,51.59662027,13,9.2,8,2.2,14.6,7,73.92341,1.49,15,2574691,4071895068,358102436.8,4.392240032,92,3241884,87460,78.4,73.5,75.8902439,6,8431365,402,-0.546351969,51.00252296,48.99747704,6982604,100,13,34.4,1.07,6
Russian Federation,RUS,19.6196,1.74E+12,100,48.34327788,57,11.5,11,1.1,12.4,7,77.40044,1.57,39,30108289,8784850000,31376880000,2.536331301,98,73825998,16376870,77.81,67.75,72.65731707,34,229431008,9963,-0.013066892,53.66176236,46.33823764,144477860,88,7.4,15.77777778,1.058,9
Poland,POL,10.1692,6.34E+11,100,48.30214691,11,10.2,10,11.8,10.9,8,76.93317,1.46,8,6575246,1.67E+10,1.91E+09,5.349025115,93,18391322,306190,81.7,73.7,77.60243902,4,51098747,1429,-0.000200133,51.53070738,48.46929262,37974750,98.1,14.5,28.04347826,1.056,7
"Macao SAR, China",MAC,2.3036,37040163131,100,31.81876996,4,11.058,10,NA,3.939,NA,NA,1.217,9,123469,2330864626,-147512673.9,5.442542619,NA,385783,30.39999962,87.051,81.149,84.118,0,2181194,NA,1.443311366,51.97828486,48.02171514,631636,NA,NA,NA,1.05,NA
Lebanon,LBN,14.2238,42561672205,100,49.47287809,11,17.545,10,40,4.356,6,54.42282,2.087,28,893529,2653921503,611297175.8,-1.926404771,82,2381501,10230,80.821,77.076,78.875,10,4424185,742,0.54245866,49.70580552,50.29419448,6848925,0,6.2,4.6875,1.05,2
Libya,LBY,5.7148,53686164470,67,48.61330481,8,18.829,9,23,5.095,0,32.73696,2.24,32,NA,0,275600000,15.13279989,73,2380602,1759540,75.788,69.895,72.724,10,NA,1296,1.47586739,49.48378881,50.51621119,6678567,0,22.1,15.95744681,1.06,0
Liberia,LBR,135.5662,2608374062,25.9182663,79.7863446,14,33.042,6,12.6,7.538,0,43.54307,4.315,64,NA,129129754.8,84075747.64,1.222551313,91,2165501,96320,65.114,62.347,63.73,24,NA,9930,2.452522593,49.76829102,50.23170898,4818977,0,35.4,12.32876712,1.054,10
Japan,JPN,3.6644,6.17E+12,100,67.42908022,49,7.4,9,7.5,11,6,78.04159,1.42,77,63525713,24605910854,1.58E+11,0.323207338,97,68358370,364560,87.32,81.25,84.21097561,29,179872794,1769,-0.202670345,51.15925913,48.84074087,126529100,100,24,10.10752688,1.056,5
Israel,ISR,9.192,3.09E+11,100,66.3955474,18,20.8,15,2.8,5,7,74.98013,3.09,50,3200000,21514500000,6086600000,3.453702518,98,4102822,21640,84.8,80.9,82.80243902,15,10700000,512,1.926622865,50.29812658,49.70187342,8882800,70.3,18.8,27.5,1.053,6
India,IND,12.0708,2.82E+12,95.2358551,49.77516695,93,17.857,8,14.4,7.234,7,67.49639,2.222,227,21868192,42117450737,11417789536,6.119586841,93,487622021,2973190,70.692,68.239,69.416,93,1176021869,715531,1.03732336,48.02353964,51.97646036,1352617328,55.9,21.7,11.80811808,1.1,9
"Korea, Dem. People’s Rep.",PRK,0.286,NA,48.49082565,41.91771469,29,13.89,12,NA,9.088,NA,NA,1.904,20,NA,792650.1257,NA,NA,98,16395998,120410,75.549,68.435,72.095,10,NA,4842,0.47012429,51.09385248,48.90614752,25549819,NA,NA,16.30276565,1.05,NA
Honduras,HND,71.8464,21278895971,91.88720703,57.31061568,14,21.599,12,39.1,4.437,8,55.97099,2.46,45,532004,1442587576,547398049.8,3.696729569,89,4499704,111890,77.378,72.771,75.088,8,7588554,3082,1.667103614,50.04934017,49.95065983,9587522,47.4,31.2,21.09375,1.05,8
Guam,GUM,30.6066,5217923581,100,52.23855924,14,16.579,0,NA,5.216,NA,NA,2.313,14,NA,NA,NA,-0.26835346,NA,80919,540,83.365,76.607,79.859,3,NA,NA,0.901084422,49.4944803,50.5055197,165768,NA,NA,NA,1.058,NA
Guatemala,GTM,69.756,54575068475,94.69546509,64.60219353,17,24.561,16,18.1,4.738,8,62.53299,2.87,41,2436093,935617740,144535580,3.214906243,87,6680520,107160,76.937,71.119,74.063,15,20467520,9022,1.600385982,50.7593495,49.2406505,16346950,7,20.2,12.65822785,1.05,9
"Hong Kong SAR, China",HKG,2.6462,2.88E+11,100,40.40201217,21,7.2,9,1.1,6.4,7,85.08628,1.072,15,4196061,97036255479,75012130177,2.861564934,NA,3964816,1050,87.7,82.3,84.93414634,4,19898785,NA,0.799050247,53.93244298,46.06755702,7451000,100,17.5,NA,1.076,8
Guinea,GIN,133.365,11138944837,44,87.88586446,20,36.364,6,38.2,8.452,0,49.26216,4.7,76,0,352760000,-330000,6.181138937,47,4285745,245720,61.666,60.477,61.185,30,12013000,28932,2.833136353,51.8211107,48.1788893,12414318,0,0,21.92982456,1.024,6
